building,evaluator,Netherite Ingots,Diamonds,Gold Ingots,Emeralds,Iron Ingots,Copper Ingots,Redstone Dust,Lapis Lazuli,Coal
Jesus' New Base,Axeman_76,,,2,,,,,,
Jesus' New Base,Decoy,,,,,,,,,
Jesus' New Base,Decoy,,,,,,,,,
Jesus' New Base,Decoy,,,,,,,,,
Cozy Cabin,Decoy,,,,,,,,,
Cozy Cabin,OldManReidGaming,,12,,,,,,,
Cozy Cabin,Axeman_76,,15,,,,,,,
Cozy Cabin,Decoy,,,,,,,,,
Cozy Cabin,Decoy,,,,,,,,,
Cozy Cabin,Decoy,,,,,,,,,
The EOMR Department of Defence and Intelligence,Decoy,,,,,,,,,
The EOMR Department of Defence and Intelligence,OldManReidGaming,,20,,,,,,,
The EOMR Department of Defence and Intelligence,Axeman_76,,18,,,,,,,
The EOMR Department of Defence and Intelligence,Decoy,,,,,,,,,
The EOMR Department of Defence and Intelligence,Decoy,,,,,,,,,
The EOMR Department of Defence and Intelligence,Decoy,,,,,,,,,
OMR Report building,Decoy,,,,,,,,,
OMR Report building,OldManReidGaming,,50,,,,,,,
OMR Report building,Axeman_76,,47,,,,,,,
OMR Report building,Decoy,,,,,,,,,
OMR Report building,Decoy,,,,,,,,,
OMR Report building,Decoy,,,,,,,,,
Water Base,Decoy,,,,,,,,,
Water Base,OldManReidGaming,,25,,,,,,,
Water Base,Axeman_76,,26,,,,,,,
Water Base,Decoy,,,,,,,,,
Water Base,Decoy,,,,,,,,,
Water Base,Decoy,,,,,,,,,
Billboard,Decoy,,,,,,,,,
Billboard,OldManReidGaming,,,8,,,,,,
Billboard,Axeman_76,,,2,,,,,,
Billboard,Decoy,,,,,,,,,
Billboard,Decoy,,,,,,,,,
Billboard,Decoy,,,,,,,,,
Cavern Tavern,Decoy,,,,,,,,,
Cavern Tavern,OldManReidGaming,,6,,,,,,,
Cavern Tavern,Axeman_76,,6,,,,,,,
Cavern Tavern,Decoy,,,,,,,,,
Cavern Tavern,Decoy,,,,,,,,,
Cavern Tavern,Decoy,,,,,,,,,
Bottom Cavern Thing,Decoy,,,,,,,,,
Bottom Cavern Thing,OldManReidGaming,,4,,,,,,,
Bottom Cavern Thing,Axeman_76,,3,,,,,,,
Bottom Cavern Thing,Decoy,,,,,,,,,
Bottom Cavern Thing,Decoy,,,,,,,,,
Bottom Cavern Thing,Decoy,,,,,,,,,
Knew Knoo Tower 1,Decoy,,,,,,,,,
Knew Knoo Tower 1,OldManReidGaming,,0.99,,,,,,,
Knew Knoo Tower 1,Axeman_76,,5,,,,,,,
Knew Knoo Tower 1,Decoy,,,,,,,,,
Knew Knoo Tower 1,Decoy,,,,,,,,,
Knew Knoo Tower 1,Decoy,,,,,,,,,
Stronghold Lounge,Decoy,,,,,,,,,
Stronghold Lounge,OldManReidGaming,,14,,,,,,,
Stronghold Lounge,Axeman_76,,15,,,,,,,
Stronghold Lounge,Decoy,,,,,,,,,
Stronghold Lounge,Decoy,,,,,,,,,
Stronghold Lounge,Decoy,,,,,,,,,
SS Old Man Reid,Decoy,,,,,,,,,
SS Old Man Reid,OldManReidGaming,,20,,,,,,,
SS Old Man Reid,Axeman_76,,25,,,,,,,
SS Old Man Reid,Decoy,,,,,,,,,
SS Old Man Reid,Decoy,,,,,,,,,
SS Old Man Reid,Decoy,,,,,,,,,
Papogoda,Decoy,,,,,,,,,
Papogoda,OldManReidGaming,,10,,,,,,,
Papogoda,Axeman_76,,9,,,,,,,
Papogoda,Decoy,,,,,,,,,
Papogoda,Decoy,,,,,,,,,
Papogoda,Decoy,,,,,,,,,
Mount Knoovius,Decoy,,,,,,,,,
Mount Knoovius,OldManReidGaming,,1,,,,,,,
Mount Knoovius,Axeman_76,,1,,,,,,,
Mount Knoovius,Decoy,,,,,,,,,
Mount Knoovius,Decoy,,,,,,,,,
Mount Knoovius,Decoy,,,,,,,,,
